text,airline_sentiment,airline_sentiment_confidence,cleaned_text,label
@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,negative,0.6705,first fare may three time carrier seat available select,-1
@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,positive,1.0,love graphics,1
@VirginAmerica I love the hipster innovation. You are a feel good brand.,positive,1.0,love sister innovation feel good brand,1
@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,neutral,1.0,making boy it la non stop permanently daytime soon,0
@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,negative,1.0,guy missed seating reserved seating friend guy gave seat away want free internet,-1
@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,negative,1.0,status match program applied three week called remained response,-1
@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,negative,1.0,happened or began food option least say or site know able eat anything next he fail,-1
@VirginAmerica do you miss me? Don't worry we'll be together very soon.,neutral,0.6854,miss worry together soon,0
@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,negative,1.0,amazing get cold air vent ve near worstflightever roasted sfotobos,-1
@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,neutral,0.615,lax ear middle seat red eye noon maneuver sendambien andchexmix,0
"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",negative,1.0,hi bed cool birthday trip add elevate cause entered middle name flight booking problem,-1
@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,neutral,1.0,hour operation club so posted online current,0
"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",negative,1.0,help left expensive headphone flight had lax today seat one answering l amp f number lax,-1
"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",negative,1.0,awaiting return phone call would prefer use online self service option,-1
@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,positive,1.0,great news america could start flight hawaii end year via,1
Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,neutral,0.6207,nice it vice moonlight takeoff touchdown moodlitmonday sciencebehindtheexperience,0
@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,positive,1.0,moodlighting way fly best experience ever cool calming moodlitmonday,1
"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",positive,1.0,done done best airline around hand,1
@VirginAmerica when can I book my flight to Hawaii??,neutral,0.6791,book flight hawaii,0
@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,negative,1.0,chat support working site,-1
"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",positive,0.6639,view downtown los angeles hollywood sign beyond rain mountain,1
"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",negative,0.6688,hey first time ulcer next week excited hard time getting flight added elevate account help,-1
@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️,neutral,1.0,ply help win bid upgrade flight lax it sea,0
@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,neutral,0.6578,unused ticket moved new city fly fly expired travelhelp,0
@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,neutral,1.0,flight leaving dallas seattle time feb,0
@VirginAmerica I'm #elevategold for a good reason: you rock!!,positive,1.0,elevategold good reason rock,1
@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,neutral,0.6799,dream,0
@VirginAmerica wow this just blew my mind,positive,1.0,now blew mind,1
@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,neutral,1.0,last night tribute soundofmusic oscar think agree,0
@VirginAmerica @ladygaga @carrieunderwood All were entertaining,neutral,0.6436,entertaining,0
"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",neutral,0.6764,flight way supposed take minute ago webster still show time flight thanks,0
@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,positive,0.657,julie andrew way though impressive,1
@VirginAmerica wish you flew out of Atlanta... Soon?,neutral,1.0,wish flew atlanta soon,0
@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,neutral,0.7118,julie andrew hand,0
@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,neutral,1.0,flight leaving dallas la february th,0
@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,negative,0.6939,hi excited la it day deal trying book since last week amp page never load the,-1
@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,positive,1.0,know need specify state guiltypleasures,1
@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,positive,0.635,lady gage amazing,1
@VirginAmerica @ladygaga @carrieunderwood - Carrie!,neutral,0.7007,carried,0
@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,neutral,1.0,new marketing song let u know think,0
@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,neutral,1.0,julie andrew first lady gage now last night carried me,0
@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,negative,1.0,called week ago adding flight elevate still shown help,-1
"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌",neutral,0.6858,great go carrieunderwood,0
"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",neutral,1.0,sorry mary martin first,0
@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,positive,1.0,love three really beat classic,1
@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,neutral,0.6814,flight day da pm tried check could status please,0
@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,negative,1.0,hey guns trying get hour someone call please,-1
"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",negative,1.0,hi virgin hold minute earlier flight la ny tonight earlier pm,-1
@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,positive,0.6922,congress winning award best deal airline u,1
@VirginAmerica everything was fine until you lost my bag,negative,1.0,everything fine lost bag,-1
@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,neutral,1.0,need change reservation virgin credit card need modify phone wave change fee online,0
@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,neutral,0.6492,remained customer service team let know need cracking number,0
"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",neutral,1.0,hi booked flight need add baggage,0
@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,negative,1.0,airline awesome lax left need step game dirty table floor,-1
"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",positive,1.0,worried great ride new plane great crew airline like,1
@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,positive,1.0,awesome flew all sat morning way correct bill,1
"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",neutral,1.0,watch best student film country foot coat foot,0
@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,neutral,1.0,first time flying different rate policy medium bag thanks,0
@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,negative,1.0,going customer service anyway speak human sap thank,-1
@VirginAmerica what happened to Doom?!,neutral,1.0,happened doom,0
@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,negative,1.0,sup big traveler like customer service like neverflyvirginforbusiness,-1
@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,positive,1.0,applied member flight crew team in interested flightattendant dreampath g,1
@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,negative,0.6792,best whenever begrudgingly use airline delayed late flight,-1
@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,negative,1.0,interesting flying canceled flight next four flight planned neverflyvirginforbusiness,-1
@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,negative,1.0,disappointing experience shared every business traveler meet neverflyvirgin,-1
@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,negative,1.0,trouble adding flight wife booked elevate account help,-1
@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,neutral,0.6705,bring reservation online using flight booking problem code,0
@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,neutral,1.0,random q distribution elevate altar bet kitty disproportionate share,0
@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,neutral,0.6545,it flying va life happens trying change trip peri help va home page let,0
@VirginAmerica Why is the site down?  When will it be back up?,negative,1.0,site back,-1
"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",neutral,1.0,rep yeah know,0
"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",neutral,0.6639,hi get point elevate account recent flight add flight point account,0
@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,negative,1.0,like to interesting video disappointed canceled lighted flight flight went of saturday,-1
"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",negative,1.0,landed lax hour late flight bag check business travel friendly nomorevirgin,-1
@VirginAmerica why is flight 345 redirected?,neutral,0.6765,flight directed,0
"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",negative,1.0,webster bow new webster great user experience time another design,-1
@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,negative,1.0,check add bag webster working tried desktop mobile,-1
@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,negative,1.0,let scanned passenger leave plane told someone remove bag st class bin uncomfortable,-1
@virginamerica What is your phone number. I can't find who to call about a flight reservation.,negative,1.0,phone number find call flight reservation,-1
@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,negative,1.0,anyone anything today webster useless one answering phone,-1
@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,neutral,1.0,trying add boy prince russie of thursday lax,0
@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,negative,1.0,must traveler miss flight late flight check bag missed morning appointment lost business so lax,-1
@VirginAmerica check out new music http://t.co/maRcnOCWzn,neutral,1.0,check new music,0
@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,negative,0.6925,direct flight all it so unexpected layer vera fuel yet peep next bought vera flight speak,-1
@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,negative,1.0,late flight bag check lost business missed flight apt three people flight ex,-1
"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",positive,1.0,amazing customer service raeann of best customerservice virginamerica flying,1
@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm,negative,1.0,called service line hung awesome sarcasm,-1
@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,negative,1.0,site tripping trying check getting plain text version reluctant enter card into,-1
@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,neutral,0.6593,schedule so day flight today changed th due weather look like flight still,0
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",positive,0.6823,gateway deal may one way lot cool city cheapflights farecompare,1
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare",neutral,1.0,gateway deal may one way lot cool city cheapflights farecompare,0
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare",positive,0.6806,gateway deal may one way lot cool city cheapflights farecompare,1
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare",neutral,0.6529,gateway deal may one way lot cool city cheapflights farecompare,0
@VirginAmerica Have a great week 🌞✈,positive,0.6779999999999999,great week,1
"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?",negative,1.0,concerned fly plane need delayed due teach stop,-1
"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",positive,1.0,best airline flown easy change reservation helpful representative amp comfortable flying experience,1
@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,positive,1.0,another rep kicked butt allah represents team beautifully thank,1
@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,positive,1.0,beautiful front end design right cool still book ticket b c back end secure,1
"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",positive,1.0,love team running gate e la tonight waited delayed flight kept thing entertaining,1
@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,negative,0.6832,use another brother amp brand reputation built teach response cross brother compatible webster,-1
"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",negative,1.0,flight flight booking problem site totally folk problem,-1
@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,negative,1.0,like customer service min delay connecting passenger seems long va,-1
@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,positive,1.0,thanks outstanding ny of crew moved mountain get home san francisco tonight,1
@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,positive,1.0,absolute best team customer service ever every time fly delighted thank,1
"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?",neutral,1.0,provide complimentary upgrade first class available seat,0
@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,negative,0.6703,need change flight that schedule hour min wait time phone in calling inter help,-1
@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,positive,1.0,completely awesome experience last month boy la nonstop thanks awesome flight depart time vabeatsjblue,1
@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?,neutral,1.0,watch oscar of it so flight,0
@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?,neutral,0.6535,flight canceled lighted,0
@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.,negative,1.0,failing customer check process link tea pre check,-1
@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry,negative,1.0,u terrible airline gave u hotel outline number said sorry,-1
@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?,neutral,1.0,flight number so cab san local arrived yet,0
@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!,negative,1.0,assistance yesterday u canceled lighted flight give u hotel outline shame,-1
@VirginAmerica Another delayed flight? #likingyoulessandless,negative,1.0,another delayed flight likingyoulessandless,-1
@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise,negative,1.0,need register service dog first class ticket so it dulled phone queue hour longer pus advise,-1
@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015,positive,1.0,rock making watch oscar flight redcarpet oscar oscar,1
"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9",neutral,1.0,dropped track,0
@VirginAmerica always!!! Xoxo,positive,0.7011,always too,1
@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated,negative,1.0,book seat flight buy even check creates much anxiety frustrated,-1
@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame,negative,0.6543,think paying extra buck it luggage might afford hiring extra hand lame,-1
@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!,positive,1.0,best customer service rep world irmafromdallas take cake,1
@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas,negative,0.6889,please provide status flight can imagine time web indicates due weather dallas,-1
@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!,positive,1.0,amazing staff amp super helpful ran princesshalf spoiled comfort,1
"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(",negative,1.0,paid premium fly across country canceled flight flight offer check fee upgrade love sad face,-1
@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.,negative,0.679,question possible book seat infant giving option want seat,-1
Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.,positive,1.0,always together welcome it welcome,1
@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf,positive,1.0,flight home do sunset globe backtowinter back work refreshed,1
.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.,negative,1.0,understand need do give answer damaged luggage policy,-1
.@VirginAmerica does that mean you don't have a policy for destroyed luggage?,negative,1.0,mean policy destroyed luggage,-1
@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?,neutral,1.0,special assistance travel alone w kid infant priority boarding,0
@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-),positive,1.0,thank checking ticket purchased customer happy,1
@VirginAmerica is your website ever coming back online?,neutral,1.0,webster ever coming back online,0
"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?",neutral,0.6732,flight love field so definitely canceled lighted monday february,0
@VirginAmerica Is flight 0769 out of LGA to DFW on time?,neutral,1.0,flight la dew time,0
@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?,neutral,1.0,driver license expired little month fly friday morning using expired license,0
@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.,negative,1.0,problem flight booking problem web site keep giving error contact phone phone minute wait,-1
@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!,negative,0.6593,schedule canceled lighted flight online change button preyed,-1
"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site",negative,1.0,rang wait minute book ticket vendor fix site,-1
"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable.",negative,1.0,got flight told today checked email tomorrow unacceptable,-1
"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)",negative,1.0,flight la canceled lighted stuck dallas called schedule told could get flight today,-1
@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter,negative,1.0,paring include red wine white offered redwineisbetter,-1
@VirginAmerica is the website down?,negative,0.6517,webster,-1
@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2,negative,0.68,site seems little worked right may want look tried two brother is,-1
@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers,negative,1.0,disappointed agent designate silver status check line closed assist passengers,-1
@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2,neutral,1.0,plan include austin dallas route tones arab emigrate,0
@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh,negative,1.0,normal receive reply central baggage baggageissues s,-1
@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!,negative,1.0,loan airport waiting checking flight checking desk open,-1
@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx,neutral,1.0,jump dallas austin market,0
"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu",neutral,1.0,beat es view take southwestair va lui investor business daily,0
@VirginAmerica Lister to my show my on Monday 1230 130,neutral,1.0,lister show monday,0
@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH,neutral,1.0,begin dallas austin flight april her,0
"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher...",negative,1.0,congress got business ear so lax fuck ll so ear clinched,-1
@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed,negative,1.0,applied week ago heard back flying week disappointed,-1
@VirginAmerica I'd love to know what your policy is for damaged luggage.,neutral,0.6816,love know policy damaged luggage,0
@VirginAmerica Thank you for the follow,positive,1.0,thank follow,1
@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers,negative,1.0,many apology r worse airline even respond customers,-1
@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?,negative,1.0,shame va making people spend money strange city airline landing of reimbursed,-1
@VirginAmerica @TTINAC11 I DM you,neutral,0.6701,do,0
@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas 😩😭,neutral,0.6942,please flight sac choice fly southwest vera,0
@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!,negative,1.0,bad say take day via confirmation email inquired week claim week,-1
@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?,negative,0.6791,flight boy it la tomorrow canceled lighted ratification wait time hour ebook another airline,-1
@VirginAmerica Only way to fly! #Elevate #Gold,positive,1.0,way fly elevate gold,1
@VirginAmerica If only you guys had flights from CMH.,neutral,0.653,guy flight ch,0
"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever.",negative,1.0,lot apology thrown customer see sad thanks nothing worst airline ever,-1
@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever,negative,1.0,flight stuff wrong nothing worst flight ever,-1
@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?,neutral,0.6743,issue finding missing item plane help find airport plane headed next,0
@VirginAmerica you will match my #AmericanAirlines status? Cool!,positive,0.6783,match americanairlines status cool,1
“@VirginAmerica:You've met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy” @asarco_ES_ar ? 🙉,neutral,0.6863,met match got status another airline upgrade,0
@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business,negative,1.0,trying book flight guy webster let lose business,-1
@VirginAmerica you suck!,negative,1.0,suck,-1
@VirginAmerica thanks!,positive,1.0,thanks,1
@VirginAmerica Just DM'd. Same issue persisting.,negative,1.0,do issue persisting,-1
@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids,negative,1.0,never rec canceled flightlation notice left w option fly p driving la red eye mon w kid,-1
@VirginAmerica trying to book a flight &amp; your site is down 😁,negative,1.0,trying book flight amp site,-1
@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything,negative,0.7158,flight flying boston tomorrow need home canceled lighted flight anything,-1
@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better,negative,1.0,stink flight canceled lighted pp of ratification ability ebook disappointed expected better,-1
@VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue,positive,1.0,love guy song dancing high school dance review,1
@VirginAmerica Your website is down and I'm trying to check in!,negative,1.0,webster trying check,-1
"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)",positive,1.0,done thank quick response apparently faster sitting hold,1
@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!,neutral,0.6809,nervous flight do lax getting canceled lighted tomorrow sent do help,0
@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4,positive,1.0,cool picture another virginamerica plane wing site,1
@VirginAmerica Keep up the great work :),positive,1.0,keep great work,1
